,rank02,artist_names,track_name,source,peak_rank,stream02,streams09,streams16,streams23,peak_rank23,rank09,rank16,rank23,weeks_on_chart
49,50,"Shakira, Rauw Alejandro",Te Felicito,Sony Music Latin,50,12064377,11298247,11156430,12035742,6,50,50,50,5
50,51,"Bad Bunny, Tony Dize",La Corriente,Rimas Entertainment LLC,17,12047537,11287057,10991400,12018265,8,51,NaN,51,28
51,52,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,31,11854777,11193101,10875554,NaN,NaN,52,52,NaN,NaN
52,53,Ryan Castro,Jordan,King Records,33,11516559,11160963,10861075,11457936,29,53,NaN,53,95
53,54,Bad Bunny,Aguacero,Rimas Entertainment LLC,22,11467958,11085473,10849689,11355320,5,54,54,54,5
54,55,GAYLE,abcdefu,Atlantic/Arthouse Records,1,11443176,11081992,10735745,11321087,55,55,55,55,7
55,56,Harry Styles,Watermelon Sugar,Columbia,4,11428190,11062983,10701631,11172345,1,56,56,56,134
56,57,Ed Sheeran,Bad Habits,Atlantic Records UK,3,11420063,10946698,10701527,11004016,15,57,57,57,7
57,58,"Bad Bunny, Buscabulla",Andrea,Rimas Entertainment LLC,21,11362643,10943671,10678545,10964963,18,58,58,58,6
58,59,"Polimá Westcoast, Pailita",ULTRA SOLO,Sony Music Entertainment Chile S.A,54,11350928,10889320,10655534,10824487,34,59,59,59,45
59,60,Tom Odell,Another Love,ITNO/Columbia,29,11117308,10778768,10606987,10799743,4,60,60,60,136
60,61,Adele,Easy On Me,Columbia,1,11088595,10684865,10552629,NaN,NaN,61,61,NaN,NaN
61,62,Ruth B.,Dandelions,Columbia,34,10883732,10662193,10454626,10695073,29,62,62,62,63
62,63,The Weeknd,Blinding Lights,Republic Records,1,10806314,10571669,10391200,10692316,11,63,63,63,7
63,64,"Tiësto, Ava Max",The Motto,Atlantic Records,22,10752758,10466982,10292718,10542306,4,64,64,64,50
64,65,WILLOW,Wait a Minute!,Roc Nation W Smith P&D,28,10740023,10399030,10201641,10514237,1,65,65,65,58
65,66,"Kendrick Lamar, Blxst, Amanda Reifer",Die Hard,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,8,10663015,10277785,10179135,10427639,21,66,66,66,7
66,67,Lil Nas X,THATS WHAT I WANT,Columbia,3,10548068,10194412,10003869,10255712,3,67,67,67,52
67,68,Harry Styles,Boyfriends,Columbia,22,10496532,10074442,9927266,NaN,NaN,68,NaN,NaN,NaN
68,69,Farruko,Pepas,Sony Music Latin,4,10395724,NaN,9761414,10003504,2,NaN,69,69,16
69,70,The Neighbourhood,Sweater Weather,Columbia,29,10283878,9868030,9722930,9967686,42,70,70,70,9
70,71,Bad Bunny,Un Coco,Rimas Entertainment LLC,25,10130937,NaN,9537608,9939483,10,NaN,71,71,5
71,72,Danny Ocean,Fuera del mercado,Atlantic Records,22,9939809,9663274,9536732,9893638,3,72,72,72,40
72,73,"Bad Bunny, The Marías",Otro Atardecer,Rimas Entertainment LLC,24,9884959,9660212,9499747,9760503,22,73,73,73,7
73,74,Bad Bunny,Dos Mil 16,Rimas Entertainment LLC,19,9660191,NaN,9407306,9519355,26,NaN,74,74,4
74,75,"Coldplay, BTS",My Universe,Parlophone UK,3,9559719,NaN,9345514,9468283,14,NaN,75,75,7
75,76,Olivia Rodrigo,traitor,Olivia Rodrigo PS,7,9472327,9531214,9292382,9442367,1,76,76,76,36
76,77,Jovem Dionisio,ACORDA PEDRINHO,Jovem Dionisio,77,9407039,9514299,9253874,9400129,22,77,77,77,33
77,78,Panic! At The Disco,House of Memories,Decaydance/Fueled By Ramen,64,9363146,9491897,9234280,9274154,4,78,78,78,90
78,79,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,9343793,9424839,9204048,9192579,72,79,79,79,5
79,80,Charlie Puth,Light Switch,Atlantic Records,19,9218655,9343906,9196143,9168086,7,80,80,80,57
80,81,Bad Bunny,Un Verano Sin Ti,Rimas Entertainment LLC,20,9122230,9293572,9185610,9113248,19,81,81,81,7
